,symbol,metric,value
6136,RCL,1y Target Est,120.93
6137,SPGI,Previous Close,411.54
6138,SPGI,Open,411.03
6139,SPGI,Bid,412.90 x 800
6140,SPGI,Ask,413.42 x 800
6141,SPGI,Day's Range,410.94 - 413.14
6142,SPGI,52 Week Range,321.15 - 428.65
6143,SPGI,Volume,"60,427"
6144,SPGI,Avg. Volume,"1,150,434"
6145,SPGI,Market Cap,130.506B
6146,SPGI,Beta (5Y Monthly),1.13
6147,SPGI,PE Ratio (TTM),53.50
6148,SPGI,EPS (TTM),7.70
6149,SPGI,Earnings Date,"Feb 07, 2024 - Feb 12, 2024"
6150,SPGI,Forward Dividend & Yield,3.60 (0.87%)
6151,SPGI,Ex-Dividend Date,"Nov 27, 2023"
6152,SPGI,1y Target Est,441.90
6153,CRM,Previous Close,221.22
6154,CRM,Open,221.43
6155,CRM,Bid,0.00 x 1100
6156,CRM,Ask,0.00 x 1800
6157,CRM,Day's Range,220.62 - 226.10
6158,CRM,52 Week Range,126.34 - 238.22
6159,CRM,Volume,"4,571,995"
6160,CRM,Avg. Volume,"4,612,331"
6161,CRM,Market Cap,219.727B
6162,CRM,Beta (5Y Monthly),1.17
6163,CRM,PE Ratio (TTM),140.71
6164,CRM,EPS (TTM),1.60
6165,CRM,Earnings Date,"Nov 30, 2023"
6166,CRM,Forward Dividend & Yield,N/A (N/A)
6167,CRM,Ex-Dividend Date,N/A
6168,CRM,1y Target Est,232.76
6169,SBAC,Previous Close,233.71
6170,SBAC,Open,232.19
6171,SBAC,Bid,94.53 x 800
6172,SBAC,Ask,300.00 x 1200
6173,SBAC,Day's Range,229.68 - 236.01
6174,SBAC,52 Week Range,185.23 - 312.34
6175,SBAC,Volume,"504,832"
6176,SBAC,Avg. Volume,"821,164"
6177,SBAC,Market Cap,25.372B
6178,SBAC,Beta (5Y Monthly),0.55
6179,SBAC,PE Ratio (TTM),51.80
6180,SBAC,EPS (TTM),4.54
6181,SBAC,Earnings Date,"Feb 19, 2024 - Feb 23, 2024"
6182,SBAC,Forward Dividend & Yield,3.40 (1.45%)
6183,SBAC,Ex-Dividend Date,"Nov 15, 2023"
6184,SBAC,1y Target Est,248.60
6185,SLB,Previous Close,52.74
6186,SLB,Open,52.23
6187,SLB,Bid,52.04 x 800
6188,SLB,Ask,52.06 x 1000
6189,SLB,Day's Range,51.99 - 52.58
6190,SLB,52 Week Range,42.73 - 62.12
6191,SLB,Volume,"1,662,010"
6192,SLB,Avg. Volume,"8,226,625"
6193,SLB,Market Cap,74.68B
6194,SLB,Beta (5Y Monthly),1.79
6195,SLB,PE Ratio (TTM),18.15
6196,SLB,EPS (TTM),2.88
6197,SLB,Earnings Date,"Jan 18, 2024 - Jan 22, 2024"
6198,SLB,Forward Dividend & Yield,1.00 (1.90%)
6199,SLB,Ex-Dividend Date,"Dec 05, 2023"
6200,SLB,1y Target Est,69.54
6201,STX,Previous Close,77.06
6202,STX,Open,76.80
6203,STX,Bid,76.31 x 800
6204,STX,Ask,76.43 x 900
6205,STX,Day's Range,75.76 - 76.86
6206,STX,52 Week Range,48.94 - 77.25
6207,STX,Volume,"163,167"
6208,STX,Avg. Volume,"2,837,090"
6209,STX,Market Cap,15.871B
6210,STX,Beta (5Y Monthly),1.06
6211,STX,PE Ratio (TTM),N/A
6212,STX,EPS (TTM),-3.58
6213,STX,Earnings Date,"Jan 23, 2024 - Jan 29, 2024"
6214,STX,Forward Dividend & Yield,2.80 (3.63%)
6215,STX,Ex-Dividend Date,"Dec 20, 2023"
6216,STX,1y Target Est,68.94
6217,SEE,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
6218,SRE,Previous Close,72.43
6219,SRE,Open,72.58
6220,SRE,Bid,72.53 x 800
6221,SRE,Ask,72.57 x 1000
6222,SRE,Day's Range,72.28 - 72.80
6223,SRE,52 Week Range,63.75 - 84.12
6224,SRE,Volume,"322,021"
6225,SRE,Avg. Volume,"2,859,117"
6226,SRE,Market Cap,45.784B
6227,SRE,Beta (5Y Monthly),0.75
6228,SRE,PE Ratio (TTM),16.84
6229,SRE,EPS (TTM),4.32
6230,SRE,Earnings Date,"Nov 03, 2023"
6231,SRE,Forward Dividend & Yield,2.38 (3.29%)
6232,SRE,Ex-Dividend Date,"Dec 05, 2023"
6233,SRE,1y Target Est,81.13
6234,NOW,Previous Close,654.36
6235,NOW,Open,654.00
6236,NOW,Bid,667.20 x 800
6237,NOW,Ask,667.70 x 1200
6238,NOW,Day's Range,652.59 - 668.54
6239,NOW,52 Week Range,353.62 - 668.54
6240,NOW,Volume,"1,078,397"
6241,NOW,Avg. Volume,"1,126,923"
6242,NOW,Market Cap,136.755B
6243,NOW,Beta (5Y Monthly),0.99
6244,NOW,PE Ratio (TTM),84.74
6245,NOW,EPS (TTM),7.87
6246,NOW,Earnings Date,"Jan 23, 2024 - Jan 29, 2024"
6247,NOW,Forward Dividend & Yield,N/A (N/A)
6248,NOW,Ex-Dividend Date,N/A
6249,NOW,1y Target Est,650.49
6250,SHW,Previous Close,273.04
6251,SHW,Open,273.25
6252,SHW,Bid,272.02 x 800
6253,SHW,Ask,272.58 x 900
6254,SHW,Day's Range,270.97 - 273.65
6255,SHW,52 Week Range,205.43 - 283.80
6256,SHW,Volume,"280,002"
6257,SHW,Avg. Volume,"1,412,268"
6258,SHW,Market Cap,69.551B
6259,SHW,Beta (5Y Monthly),1.08
6260,SHW,PE Ratio (TTM),29.09
6261,SHW,EPS (TTM),9.34
6262,SHW,Earnings Date,"Jan 24, 2024 - Jan 29, 2024"
6263,SHW,Forward Dividend & Yield,2.42 (0.89%)
6264,SHW,Ex-Dividend Date,"Nov 16, 2023"
6265,SHW,1y Target Est,289.45
6266,SPG,Previous Close,122.75
6267,SPG,Open,122.16
6268,SPG,Bid,121.64 x 800
6269,SPG,Ask,121.71 x 900
6270,SPG,Day's Range,121.09 - 122.22
6271,SPG,52 Week Range,100.17 - 133.08
6272,SPG,Volume,"151,308"
6273,SPG,Avg. Volume,"1,555,271"
6274,SPG,Market Cap,45.613B
6275,SPG,Beta (5Y Monthly),1.61
6276,SPG,PE Ratio (TTM),18.04
6277,SPG,EPS (TTM),6.74
6278,SPG,Earnings Date,"Feb 05, 2024 - Feb 09, 2024"
6279,SPG,Forward Dividend & Yield,7.60 (6.19%)
6280,SPG,Ex-Dividend Date,"Dec 07, 2023"
6281,SPG,1y Target Est,129.00
6282,SWKS,Previous Close,94.74
6283,SWKS,Open,93.81
6284,SWKS,Bid,93.85 x 900
6285,SWKS,Ask,93.93 x 1000
6286,SWKS,Day's Range,93.35 - 94.20
6287,SWKS,52 Week Range,85.06 - 123.69
6288,SWKS,Volume,"213,193"
6289,SWKS,Avg. Volume,"1,681,026"
6290,SWKS,Market Cap,15.031B
6291,SWKS,Beta (5Y Monthly),1.33
6292,SWKS,PE Ratio (TTM),15.33
6293,SWKS,EPS (TTM),6.13
6294,SWKS,Earnings Date,"Feb 05, 2024 - Feb 09, 2024"
6295,SWKS,Forward Dividend & Yield,2.72 (2.87%)
6296,SWKS,Ex-Dividend Date,"Nov 20, 2023"
6297,SWKS,1y Target Est,104.75
6298,SJM,Previous Close,112.26
6299,SJM,Open,112.47
6300,SJM,Bid,111.71 x 1100
6301,SJM,Ask,111.83 x 800
6302,SJM,Day's Range,111.37 - 112.46
6303,SJM,52 Week Range,107.33 - 163.07
6304,SJM,Volume,"59,338"
6305,SJM,Avg. Volume,"1,416,135"
6306,SJM,Market Cap,11.713B
6307,SJM,Beta (5Y Monthly),0.32
6308,SJM,PE Ratio (TTM),N/A
6309,SJM,EPS (TTM),-0.10
6310,SJM,Earnings Date,"Dec 05, 2023"
6311,SJM,Forward Dividend & Yield,4.24 (3.78%)
6312,SJM,Ex-Dividend Date,"Nov 16, 2023"
6313,SJM,1y Target Est,131.82
6314,SNA,Previous Close,275.27
6315,SNA,Open,274.46
6316,SNA,Bid,272.99 x 800
6317,SNA,Ask,274.71 x 800
6318,SNA,Day's Range,272.98 - 274.46
6319,SNA,52 Week Range,220.21 - 297.26
6320,SNA,Volume,"6,657"
6321,SNA,Avg. Volume,"226,478"
6322,SNA,Market Cap,14.454B
6323,SNA,Beta (5Y Monthly),1.06
6324,SNA,PE Ratio (TTM),14.87
6325,SNA,EPS (TTM),18.42
6326,SNA,Earnings Date,"Jan 31, 2024 - Feb 05, 2024"
6327,SNA,Forward Dividend & Yield,7.44 (2.70%)
6328,SNA,Ex-Dividend Date,"Nov 20, 2023"
6329,SNA,1y Target Est,N/A
6330,SEDG,Previous Close,78.99
6331,SEDG,Open,79.03
6332,SEDG,Bid,81.60 x 900
6333,SEDG,Ask,81.86 x 900
6334,SEDG,Day's Range,76.72 - 82.90
6335,SEDG,52 Week Range,63.25 - 345.80
6336,SEDG,Volume,"2,451,242"
6337,SEDG,Avg. Volume,"2,790,239"
6338,SEDG,Market Cap,4.605B
6339,SEDG,Beta (5Y Monthly),1.57
6340,SEDG,PE Ratio (TTM),21.39
6341,SEDG,EPS (TTM),3.79
6342,SEDG,Earnings Date,"Feb 12, 2024 - Feb 16, 2024"
6343,SEDG,Forward Dividend & Yield,N/A (N/A)
6344,SEDG,Ex-Dividend Date,N/A
6345,SEDG,1y Target Est,106.48
6346,SO,Previous Close,69.44
6347,SO,Open,69.63
6348,SO,Bid,69.08 x 800
6349,SO,Ask,69.08 x 1200
6350,SO,Day's Range,68.83 - 69.89
6351,SO,52 Week Range,61.56 - 75.80
6352,SO,Volume,"528,912"
6353,SO,Avg. Volume,"4,313,181"
6354,SO,Market Cap,75.515B
6355,SO,Beta (5Y Monthly),0.55
6356,SO,PE Ratio (TTM),25.27
6357,SO,EPS (TTM),2.74
6358,SO,Earnings Date,"Feb 14, 2024 - Feb 19, 2024"
6359,SO,Forward Dividend & Yield,2.78 (4.00%)
6360,SO,Ex-Dividend Date,"Nov 17, 2023"
6361,SO,1y Target Est,72.76
6362,LUV,Previous Close,24.81
6363,LUV,Open,24.76
6364,LUV,Bid,25.16 x 1100
6365,LUV,Ask,25.20 x 1800
6366,LUV,Day's Range,24.52 - 25.22
6367,LUV,52 Week Range,21.91 - 40.38
6368,LUV,Volume,"6,115,369"
6369,LUV,Avg. Volume,"7,188,382"
6370,LUV,Market Cap,14.98B
6371,LUV,Beta (5Y Monthly),1.16
6372,LUV,PE Ratio (TTM),30.65
6373,LUV,EPS (TTM),0.82
6374,LUV,Earnings Date,"Jan 24, 2024 - Jan 29, 2024"
6375,LUV,Forward Dividend & Yield,0.72 (2.90%)
6376,LUV,Ex-Dividend Date,"Dec 20, 2023"
6377,LUV,1y Target Est,27.25
6378,SWK,Previous Close,91.54
6379,SWK,Open,90.86
6380,SWK,Bid,89.38 x 800
6381,SWK,Ask,89.73 x 800
6382,SWK,Day's Range,88.35 - 91.04
6383,SWK,52 Week Range,71.27 - 104.21
6384,SWK,Volume,"161,668"
6385,SWK,Avg. Volume,"1,419,784"
6386,SWK,Market Cap,13.594B
6387,SWK,Beta (5Y Monthly),1.33
6388,SWK,PE Ratio (TTM),N/A
6389,SWK,EPS (TTM),-0.75
6390,SWK,Earnings Date,"Jan 31, 2024 - Feb 05, 2024"
6391,SWK,Forward Dividend & Yield,3.24 (3.54%)
6392,SWK,Ex-Dividend Date,"Nov 30, 2023"
6393,SWK,1y Target Est,95.45
6394,SBUX,Previous Close,105.57
6395,SBUX,Open,105.21
6396,SBUX,Bid,104.16 x 800
6397,SBUX,Ask,104.30 x 800
6398,SBUX,Day's Range,103.86 - 105.46
6399,SBUX,52 Week Range,89.21 - 115.48
6400,SBUX,Volume,"8,678,009"
6401,SBUX,Avg. Volume,"6,554,643"
6402,SBUX,Market Cap,119.173B
6403,SBUX,Beta (5Y Monthly),0.98
6404,SBUX,PE Ratio (TTM),29.13
6405,SBUX,EPS (TTM),3.58
6406,SBUX,Earnings Date,"Jan 31, 2024 - Feb 05, 2024"
6407,SBUX,Forward Dividend & Yield,2.28 (2.16%)
6408,SBUX,Ex-Dividend Date,"Nov 09, 2023"
6409,SBUX,1y Target Est,104.17
6410,STT,Previous Close,69.95
6411,STT,Open,69.75
6412,STT,Bid,69.29 x 800
6413,STT,Ask,69.35 x 800
6414,STT,Day's Range,69.32 - 69.89
6415,STT,52 Week Range,62.78 - 94.74
6416,STT,Volume,"84,250"
6417,STT,Avg. Volume,"1,967,814"
6418,STT,Market Cap,21.416B
6419,STT,Beta (5Y Monthly),1.54
6420,STT,PE Ratio (TTM),10.09
6421,STT,EPS (TTM),6.88
6422,STT,Earnings Date,"Jan 18, 2024 - Jan 22, 2024"
6423,STT,Forward Dividend & Yield,2.76 (3.95%)
6424,STT,Ex-Dividend Date,"Sep 29, 2023"
6425,STT,1y Target Est,75.11
6426,STLD,Previous Close,110.93
6427,STLD,Open,111.42
6428,STLD,Bid,106.00 x 900
6429,STLD,Ask,114.00 x 800
6430,STLD,Day's Range,111.28 - 112.64
6431,STLD,52 Week Range,90.55 - 136.46
6432,STLD,Volume,"851,129"
6433,STLD,Avg. Volume,"1,320,567"
6434,STLD,Market Cap,18.101B
6435,STLD,Beta (5Y Monthly),1.48
6436,STLD,PE Ratio (TTM),7.13
6437,STLD,EPS (TTM),15.69
6438,STLD,Earnings Date,"Jan 23, 2024 - Jan 29, 2024"
6439,STLD,Forward Dividend & Yield,1.70 (1.52%)
6440,STLD,Ex-Dividend Date,"Dec 28, 2023"
6441,STLD,1y Target Est,109.13
6442,STE,Previous Close,203.42
6443,STE,Open,204.26
6444,STE,Bid,198.20 x 1000
6445,STE,Ask,198.40 x 900
6446,STE,Day's Range,198.04 - 204.33
6447,STE,52 Week Range,165.44 - 254.00
6448,STE,Volume,"229,538"
6449,STE,Avg. Volume,"366,687"
6450,STE,Market Cap,19.587B
6451,STE,Beta (5Y Monthly),0.86
6452,STE,PE Ratio (TTM),35.98
6453,STE,EPS (TTM),5.51
6454,STE,Earnings Date,"Feb 06, 2024 - Feb 12, 2024"
6455,STE,Forward Dividend & Yield,2.08 (1.02%)
6456,STE,Ex-Dividend Date,"Nov 20, 2023"
6457,STE,1y Target Est,239.00
6458,SYK,Previous Close,289.29
6459,SYK,Open,291.11
6460,SYK,Bid,290.08 x 800
6461,SYK,Ask,290.81 x 900
6462,SYK,Day's Range,289.48 - 291.78
6463,SYK,52 Week Range,223.91 - 306.93
6464,SYK,Volume,"127,535"
6465,SYK,Avg. Volume,"1,580,385"
6466,SYK,Market Cap,110.5B
6467,SYK,Beta (5Y Monthly),0.94
6468,SYK,PE Ratio (TTM),43.16
6469,SYK,EPS (TTM),6.74
6470,SYK,Earnings Date,"Jan 29, 2024 - Feb 02, 2024"
6471,SYK,Forward Dividend & Yield,3.00 (1.04%)
6472,SYK,Ex-Dividend Date,"Sep 28, 2023"
6473,SYK,1y Target Est,319.13
6474,SYF,Previous Close,29.88
6475,SYF,Open,29.81
6476,SYF,Bid,29.29 x 800
6477,SYF,Ask,0.00 x 1300
6478,SYF,Day's Range,29.52 - 29.91
6479,SYF,52 Week Range,26.59 - 37.99
6480,SYF,Volume,"3,224,942"
6481,SYF,Avg. Volume,"3,923,228"
6482,SYF,Market Cap,12.34B
6483,SYF,Beta (5Y Monthly),1.61
6484,SYF,PE Ratio (TTM),5.49
6485,SYF,EPS (TTM),5.43
6486,SYF,Earnings Date,"Jan 22, 2024 - Jan 26, 2024"
6487,SYF,Forward Dividend & Yield,0.96 (3.22%)
6488,SYF,Ex-Dividend Date,"Oct 31, 2023"
6489,SYF,1y Target Est,35.45
6490,SNPS,Previous Close,541.52
6491,SNPS,Open,542.18
6492,SNPS,Bid,541.11 x 900
6493,SNPS,Ask,541.99 x 900
6494,SNPS,Day's Range,540.57 - 545.57
6495,SNPS,52 Week Range,312.25 - 545.57
6496,SNPS,Volume,"71,475"
6497,SNPS,Avg. Volume,"778,876"
6498,SNPS,Market Cap,82.292B
6499,SNPS,Beta (5Y Monthly),1.08
6500,SNPS,PE Ratio (TTM),81.25
6501,SNPS,EPS (TTM),6.66
6502,SNPS,Earnings Date,"Nov 29, 2023"
6503,SNPS,Forward Dividend & Yield,N/A (N/A)
6504,SNPS,Ex-Dividend Date,N/A
6505,SNPS,1y Target Est,512.79
6506,SYY,Previous Close,70.89
6507,SYY,Open,70.84
6508,SYY,Bid,70.45 x 800
6509,SYY,Ask,71.45 x 800
6510,SYY,Day's Range,70.21 - 71.60
6511,SYY,52 Week Range,62.24 - 87.21
6512,SYY,Volume,"3,085,844"
6513,SYY,Avg. Volume,"2,679,617"
6514,SYY,Market Cap,35.947B
6515,SYY,Beta (5Y Monthly),1.12
6516,SYY,PE Ratio (TTM),20.08
6517,SYY,EPS (TTM),3.55
6518,SYY,Earnings Date,"Jan 29, 2024 - Feb 02, 2024"
6519,SYY,Forward Dividend & Yield,2.00 (2.81%)
6520,SYY,Ex-Dividend Date,"Jan 04, 2024"
6521,SYY,1y Target Est,80.25
6522,TMUS,Previous Close,148.50
6523,TMUS,Open,147.79
6524,TMUS,Bid,148.27 x 900
6525,TMUS,Ask,148.99 x 800
6526,TMUS,Day's Range,148.57 - 149.45
6527,TMUS,52 Week Range,124.92 - 153.36
6528,TMUS,Volume,"135,314"
6529,TMUS,Avg. Volume,"4,733,465"
6530,TMUS,Market Cap,171.888B
6531,TMUS,Beta (5Y Monthly),0.53
6532,TMUS,PE Ratio (TTM),23.08
6533,TMUS,EPS (TTM),6.44
6534,TMUS,Earnings Date,"Jan 30, 2024 - Feb 05, 2024"
6535,TMUS,Forward Dividend & Yield,0.65 (0.44%)
6536,TMUS,Ex-Dividend Date,"Nov 30, 2023"
6537,TMUS,1y Target Est,178.02
6538,TROW,Previous Close,98.83
6539,TROW,Open,97.84
6540,TROW,Bid,97.24 x 800
6541,TROW,Ask,97.40 x 800
6542,TROW,Day's Range,96.89 - 97.98
6543,TROW,52 Week Range,87.43 - 132.76
6544,TROW,Volume,"147,019"
6545,TROW,Avg. Volume,"1,398,832"
6546,TROW,Market Cap,21.701B
6547,TROW,Beta (5Y Monthly),1.34
6548,TROW,PE Ratio (TTM),13.83
6549,TROW,EPS (TTM),7.02
6550,TROW,Earnings Date,"Jan 24, 2024 - Jan 29, 2024"
6551,TROW,Forward Dividend & Yield,4.88 (4.94%)
6552,TROW,Ex-Dividend Date,"Dec 14, 2023"
6553,TROW,1y Target Est,90.00
6554,TTWO,Previous Close,155.88
6555,TTWO,Open,155.82
6556,TTWO,Bid,155.72 x 800
6557,TTWO,Ask,155.97 x 800
6558,TTWO,Day's Range,154.97 - 156.96
6559,TTWO,52 Week Range,96.00 - 156.96
6560,TTWO,Volume,"101,044"
6561,TTWO,Avg. Volume,"1,478,607"
6562,TTWO,Market Cap,26.355B
6563,TTWO,Beta (5Y Monthly),0.68
6564,TTWO,PE Ratio (TTM),N/A
6565,TTWO,EPS (TTM),-9.07
6566,TTWO,Earnings Date,"Feb 05, 2024 - Feb 09, 2024"
6567,TTWO,Forward Dividend & Yield,N/A (N/A)
6568,TTWO,Ex-Dividend Date,N/A
6569,TTWO,1y Target Est,161.88
6570,TPR,Previous Close,30.76
6571,TPR,Open,30.53
6572,TPR,Bid,30.40 x 800
6573,TPR,Ask,30.41 x 2900
6574,TPR,Day's Range,30.21 - 30.60
6575,TPR,52 Week Range,25.99 - 47.48
6576,TPR,Volume,"287,675"
6577,TPR,Avg. Volume,"3,625,687"
6578,TPR,Market Cap,6.957B
6579,TPR,Beta (5Y Monthly),1.50
6580,TPR,PE Ratio (TTM),7.72
6581,TPR,EPS (TTM),3.93
6582,TPR,Earnings Date,"Feb 07, 2024 - Feb 12, 2024"
6583,TPR,Forward Dividend & Yield,1.40 (4.55%)
6584,TPR,Ex-Dividend Date,"Dec 07, 2023"
6585,TPR,1y Target Est,40.12
6586,TRGP,Previous Close,86.02
6587,TRGP,Open,86.61
6588,TRGP,Bid,83.05 x 900
6589,TRGP,Ask,88.92 x 900
6590,TRGP,Day's Range,86.14 - 87.26
6591,TRGP,52 Week Range,64.85 - 90.64
6592,TRGP,Volume,"1,219,237"
6593,TRGP,Avg. Volume,"1,689,520"
6594,TRGP,Market Cap,19.372B
6595,TRGP,Beta (5Y Monthly),2.25
6596,TRGP,PE Ratio (TTM),22.80
6597,TRGP,EPS (TTM),3.81
6598,TRGP,Earnings Date,"Feb 20, 2024 - Feb 26, 2024"
6599,TRGP,Forward Dividend & Yield,2.00 (2.33%)
6600,TRGP,Ex-Dividend Date,"Oct 30, 2023"
6601,TRGP,1y Target Est,106.85
6602,TGT,Previous Close,129.89
6603,TGT,Open,129.35
6604,TGT,Bid,129.80 x 1300
6605,TGT,Ask,129.93 x 1100
6606,TGT,Day's Range,128.37 - 130.23
6607,TGT,52 Week Range,102.93 - 181.70
6608,TGT,Volume,"5,426,259"
6609,TGT,Avg. Volume,"5,100,288"
6610,TGT,Market Cap,59.853B
6611,TGT,Beta (5Y Monthly),1.04
6612,TGT,PE Ratio (TTM),16.56
6613,TGT,EPS (TTM),7.83
6614,TGT,Earnings Date,"Nov 15, 2023"
6615,TGT,Forward Dividend & Yield,4.40 (3.39%)
6616,TGT,Ex-Dividend Date,"Nov 14, 2023"
6617,TGT,1y Target Est,135.73
6618,TEL,Previous Close,126.65
6619,TEL,Open,125.93
6620,TEL,Bid,123.46 x 800
6621,TEL,Ask,126.77 x 900
6622,TEL,Day's Range,124.95 - 126.41
6623,TEL,52 Week Range,111.94 - 146.60
6624,TEL,Volume,"1,038,698"
6625,TEL,Avg. Volume,"1,525,512"
6626,TEL,Market Cap,38.989B
6627,TEL,Beta (5Y Monthly),1.33
6628,TEL,PE Ratio (TTM),21.04
6629,TEL,EPS (TTM),5.94
6630,TEL,Earnings Date,"Nov 01, 2023"
6631,TEL,Forward Dividend & Yield,2.36 (1.86%)
6632,TEL,Ex-Dividend Date,"Nov 16, 2023"
6633,TEL,1y Target Est,148.50
6634,TDY,Previous Close,376.44
6635,TDY,Open,378.37
6636,TDY,Bid,153.58 x 900
6637,TDY,Ask,612.48 x 800
6638,TDY,Day's Range,376.52 - 383.60
6639,TDY,52 Week Range,364.98 - 448.71
6640,TDY,Volume,"174,360"
6641,TDY,Avg. Volume,"264,342"
6642,TDY,Market Cap,18.062B
6643,TDY,Beta (5Y Monthly),1.02
6644,TDY,PE Ratio (TTM),23.20
6645,TDY,EPS (TTM),16.50
6646,TDY,Earnings Date,"Oct 25, 2023"
6647,TDY,Forward Dividend & Yield,N/A (1.77%)
6648,TDY,Ex-Dividend Date,N/A
6649,TDY,1y Target Est,491.44
6650,TFX,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
6651,TER,Previous Close,92.09
6652,TER,Open,92.32
6653,TER,Bid,91.95 x 1200
6654,TER,Ask,93.20 x 800
6655,TER,Day's Range,92.00 - 93.35
6656,TER,52 Week Range,81.08 - 119.20
6657,TER,Volume,"1,661,273"
6658,TER,Avg. Volume,"1,541,432"
6659,TER,Market Cap,14.23B
6660,TER,Beta (5Y Monthly),1.57
6661,TER,PE Ratio (TTM),43.29
6662,TER,EPS (TTM),2.15
6663,TER,Earnings Date,"Jan 23, 2024 - Jan 29, 2024"
6664,TER,Forward Dividend & Yield,0.44 (0.47%)
6665,TER,Ex-Dividend Date,"Nov 24, 2023"
6666,TER,1y Target Est,107.62
6667,TSLA,Previous Close,235.60
6668,TSLA,Open,235.04
6669,TSLA,Bid,242.06 x 800
6670,TSLA,Ask,242.11 x 1200
6671,TSLA,Day's Range,233.34 - 243.62
6672,TSLA,52 Week Range,101.81 - 299.29
6673,TSLA,Volume,"46,611,055"
6674,TSLA,Avg. Volume,"121,212,673"
6675,TSLA,Market Cap,764.594B
6676,TSLA,Beta (5Y Monthly),2.28
6677,TSLA,PE Ratio (TTM),77.34
6678,TSLA,EPS (TTM),3.11
6679,TSLA,Earnings Date,"Jan 23, 2024 - Jan 29, 2024"
6680,TSLA,Forward Dividend & Yield,N/A (N/A)
6681,TSLA,Ex-Dividend Date,N/A
6682,TSLA,1y Target Est,224.90
6683,TXN,Previous Close,155.54
6684,TXN,Open,154.66
6685,TXN,Bid,153.31 x 1000
6686,TXN,Ask,153.37 x 800
6687,TXN,Day's Range,152.90 - 154.66
6688,TXN,52 Week Range,139.48 - 188.12
6689,TXN,Volume,"466,084"
6690,TXN,Avg. Volume,"5,087,131"
6691,TXN,Market Cap,139.237B
6692,TXN,Beta (5Y Monthly),1.00
6693,TXN,PE Ratio (TTM),19.86
6694,TXN,EPS (TTM),7.72
6695,TXN,Earnings Date,"Jan 22, 2024 - Jan 26, 2024"
6696,TXN,Forward Dividend & Yield,5.20 (3.34%)
6697,TXN,Ex-Dividend Date,"Oct 30, 2023"
6698,TXN,1y Target Est,163.05
6699,TXT,Previous Close,77.40
6700,TXT,Open,77.36
6701,TXT,Bid,0.00 x 1100
6702,TXT,Ask,0.00 x 1000
6703,TXT,Day's Range,77.12 - 78.08
6704,TXT,52 Week Range,61.27 - 81.39
6705,TXT,Volume,"1,067,879"
6706,TXT,Avg. Volume,"1,380,532"
6707,TXT,Market Cap,15.284B
6708,TXT,Beta (5Y Monthly),1.40
6709,TXT,PE Ratio (TTM),16.84
6710,TXT,EPS (TTM),4.63
6711,TXT,Earnings Date,"Jan 23, 2024 - Jan 29, 2024"
6712,TXT,Forward Dividend & Yield,0.08 (0.10%)
6713,TXT,Ex-Dividend Date,"Dec 14, 2023"
6714,TXT,1y Target Est,86.67
6715,TMO,Previous Close,469.03
6716,TMO,Open,478.28
6717,TMO,Bid,478.49 x 800
6718,TMO,Ask,478.38 x 800
6719,TMO,Day's Range,475.98 - 487.75
6720,TMO,52 Week Range,415.60 - 609.85
6721,TMO,Volume,"570,580"
6722,TMO,Avg. Volume,"1,738,689"
6723,TMO,Market Cap,186.115B
6724,TMO,Beta (5Y Monthly),0.81
6725,TMO,PE Ratio (TTM),31.61
6726,TMO,EPS (TTM),15.24
6727,TMO,Earnings Date,"Jan 30, 2024 - Feb 03, 2024"
6728,TMO,Forward Dividend & Yield,1.40 (0.30%)
6729,TMO,Ex-Dividend Date,"Dec 14, 2023"
6730,TMO,1y Target Est,525.14
6731,TJX,Previous Close,89.54
6732,TJX,Open,89.78
6733,TJX,Bid,88.80 x 1800
6734,TJX,Ask,88.81 x 900
6735,TJX,Day's Range,88.56 - 89.97
6736,TJX,52 Week Range,72.92 - 93.78
6737,TJX,Volume,"1,410,557"
6738,TJX,Avg. Volume,"5,183,896"
6739,TJX,Market Cap,101.526B
6740,TJX,Beta (5Y Monthly),0.91
6741,TJX,PE Ratio (TTM),25.07
6742,TJX,EPS (TTM),3.54
6743,TJX,Earnings Date,"Feb 20, 2024 - Feb 26, 2024"
6744,TJX,Forward Dividend & Yield,1.33 (1.49%)
6745,TJX,Ex-Dividend Date,"Nov 08, 2023"
6746,TJX,1y Target Est,101.43
6747,TSCO,Previous Close,200.71
6748,TSCO,Open,200.00
6749,TSCO,Bid,197.76 x 900
6750,TSCO,Ask,198.01 x 800
6751,TSCO,Day's Range,193.73 - 200.00
6752,TSCO,52 Week Range,185.00 - 251.17
6753,TSCO,Volume,"254,414"
6754,TSCO,Avg. Volume,"1,233,629"
6755,TSCO,Market Cap,21.403B
6756,TSCO,Beta (5Y Monthly),0.86
6757,TSCO,PE Ratio (TTM),19.31
6758,TSCO,EPS (TTM),10.25
6759,TSCO,Earnings Date,"Jan 24, 2024 - Jan 29, 2024"
6760,TSCO,Forward Dividend & Yield,4.12 (2.05%)
6761,TSCO,Ex-Dividend Date,"Nov 24, 2023"
6762,TSCO,1y Target Est,216.48
6763,TT,Previous Close,228.62
6764,TT,Open,228.50
6765,TT,Bid,91.23 x 1000
6766,TT,Ask,360.85 x 800
6767,TT,Day's Range,225.51 - 228.95
6768,TT,52 Week Range,162.04 - 229.94
